t [s];Velocidad [km/h];;;;;
504;12,03010383;;;;;
505;13,50177878;;;;;
506;15,10631675;;;;;
507;16,66785826;;;;;
508;17,90056104;;;;;
509;18,86291179;;;;;
510;19,57395041;;;;;
511;20,05380712;;;;;
512;20,63698749;;;;;
513;21,35506332;;;;;
514;22,05503336;;;;;
515;22,501335;;;;;
516;22,56340226;;;;;
517;22,56154427;;;;;
518;22,78936772;;;;;
519;23,29445343;;;;;
520;24,27258108;;;;;
521;25,64960587;;;;;
522;27,17203461;;;;;
523;28,421718;;;;;
524;29,0155525;;;;;
525;28,43947978;;;;;
526;26,43797578;;;;;
527;22,64479285;;;;;
528;17,65692454;;;;;
529;12,36227094;;;;;
530;7,803606949;;;;;
531;4,743239534;;;;;
532;3,369964244;;;;;
533;2,946758307;;;;;
534;3,0103944;;;;;
535;2,637202429;;;;;
536;1,930279642;;;;;
537;0;;;;;
538;0;;;;;
539;0;;;;;
540;0;;;;;
541;0;;;;;
542;0;;;;;
543;0;;;;;
544;0;;;;;
545;4,443048946;;;;;
546;8,303136988;;;;;
547;12,50383383;;;;;
548;16,41179916;;;;;
549;19,62121235;;;;;
550;21,79974788;;;;;
551;22,94767023;;;;;
552;23,66591756;;;;;
553;24,59992329;;;;;
554;25,9171919;;;;;
555;27,36235203;;;;;
556;28,5436334;;;;;
557;29,17391297;;;;;
558;29,09307404;;;;;
559;28,37220111;;;;;
560;27,57469766;;;;;
561;27,20460536;;;;;
562;27,49799467;;;;;
563;28,48534626;;;;;
564;29,84969115;;;;;
565;31,40276451;;;;;
566;33,03982655;;;;;
567;34,64255281;;;;;
568;36,33761228;;;;;
569;38,1972533;;;;;
570;40,22803029;;;;;
571;42,2185489;;;;;
572;43,76037018;;;;;
573;44,55605303;;;;;
574;44,42606369;;;;;
575;43,35664031;;;;;
576;41,71151526;;;;;
577;39,80289782;;;;;
578;37,95584287;;;;;
579;36,23531901;;;;;
580;34,67084736;;;;;
581;33,30483353;;;;;
582;32,31561194;;;;;
583;31,99757828;;;;;
584;32,72421238;;;;;
585;34,10688285;;;;;
586;35,55934073;;;;;
587;36,3468732;;;;;
588;36,03608838;;;;;
589;34,57151978;;;;;
590;32,54743134;;;;;
591;30,81170194;;;;;
592;30,20200897;;;;;
593;30,69144193;;;;;
594;31,96318975;;;;;
595;33,51698539;;;;;
596;34,87029192;;;;;
597;35,73938519;;;;;
598;36,15052582;;;;;
599;36,09645492;;;;;
600;35,62262216;;;;;
601;34,39857925;;;;;
602;32,42245944;;;;;
603;29,95908673;;;;;
604;27,62748949;;;;;
605;26,26986291;;;;;
606;26,47219821;;;;;
607;28,40427067;;;;;
608;31,68332258;;;;;
609;35,23490167;;;;;
610;38,46651179;;;;;
611;40,94634252;;;;;
612;42,63454431;;;;;
613;43,52092974;;;;;
614;43,51382156;;;;;
615;42,55216536;;;;;
616;40,49132164;;;;;
617;37,22110993;;;;;
618;33,21982513;;;;;
619;28,90697467;;;;;
620;24,58372616;;;;;
621;20,21556586;;;;;
622;15,70459632;;;;;
623;11,12458593;;;;;
624;6,780212785;;;;;
625;0;;;;;
626;0;;;;;
627;0;;;;;
628;0;;;;;
629;0;;;;;
630;0;;;;;
631;0;;;;;
632;0;;;;;
633;0;;;;;
634;0;;;;;
635;0;;;;;
636;0;;;;;
637;0;;;;;
638;0;;;;;
639;0;;;;;
640;0;;;;;
641;0;;;;;
642;0;;;;;
643;0;;;;;
644;0;;;;;
645;0;;;;;
646;7,72789408;;;;;
647;12,0260307;;;;;
648;15,99552505;;;;;
649;19,42291449;;;;;
650;22,30135672;;;;;
651;24,77246079;;;;;
652;27,20711014;;;;;
653;29,58701366;;;;;
654;31,81994805;;;;;
655;33,5567664;;;;;
656;34,65942317;;;;;
657;35,36111182;;;;;
658;35,83483353;;;;;
659;36,2148956;;;;;
660;36,73136583;;;;;
661;37,31485242;;;;;
662;37,80373014;;;;;
663;37,80771935;;;;;
664;37,14521437;;;;;
665;35,84953078;;;;;
666;33,93615854;;;;;
667;31,43635082;;;;;
668;28,85879103;;;;;
669;26,69038826;;;;;
670;25,06442908;;;;;
671;23,74775443;;;;;
672;22,44278091;;;;;
673;20,8161997;;;;;
674;18,61526868;;;;;
675;15,65432282;;;;;
676;12,33929027;;;;;
677;9,172994434;;;;;
678;6,421526733;;;;;
679;4,171780064;;;;;
680;2,454528588;;;;;
681;1,240846011;;;;;
682;0;;;;;
683;0;;;;;
684;0;;;;;
685;0;;;;;
686;0;;;;;
687;0;;;;;
688;0;;;;;
689;0;;;;;
690;0;;;;;
691;0;;;;;
692;0;;;;;
693;4,298934795;;;;;
694;7,404353314;;;;;
695;10,78360648;;;;;
